05.07.2023; 16:30:23; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:29:19; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:28:55; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:28:55; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:27:56; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:27:38; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:27:38; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:26:52; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:25:36; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:25:36; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:23:40; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:22:44; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:22:44; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:20:52; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:20:52; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:20:48; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:16:38; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:16:38; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:16:34; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:16:06; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:16:06; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:08:44; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:08:44; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:08:37; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:07:43; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:07:43; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:07:26; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:07:26; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:05:00; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:05:00; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:04:01; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:04:01; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:01:19; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 16:00:57; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:00:57; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 16:00:00; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 16:00:00; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:59:36; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:58:39; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:58:39; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:58:35; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:55:18; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:55:18; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:55:10; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:53:53; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:53:53; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:49:51; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:49:51; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:48:52; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:48:52; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:48:27; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:48:27; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:48:22; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:47:48; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:47:48; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:47:34; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:47:16; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:47:16; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:46:50; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:46:50; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:46:03; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:46:03; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:43:06; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:41:29; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
